"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"19.228060379999999","INTERLIFE ΑΣΦΑΛΙΣΤΙΚΗ","ΑΥΤΟΚΙΝΗΤΟ","ΟΜΧ248","25/10/2023","25/10/2024","ΑΤΤΙΚΗΣ",131.01,90.06,20.06,2
"959375","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΟΜΧ248","25/10/2023","25/10/2024","ΑΤΤΙΚΗΣ",24,16.7,4.01,2
"70197623","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΚΜ7932","30/05/2024","30/11/2024","ΑΤΤΙΚΗΣ",13.63,9.83,2.36,17
"782655","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΚΜ7932","30/05/2024","30/11/2024","ΑΤΤΙΚΗΣ",2.5,1.81,0.4,17
"33780855","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΚΜ7932","30/11/2023","30/05/2024","ΑΤΤΙΚΗΣ",124.9,85.5,8.55,17
"679001","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΚΜ7932","30/11/2023","30/05/2024","ΑΤΤΙΚΗΣ",2,1.45,0.16,17
"965233","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΚΜ7932","30/11/2023","30/05/2024","ΑΤΤΙΚΗΣ",12,8.34,2,17
"33780855","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΙΚΜ7932","30/05/2024","30/11/2024","ΑΤΤΙΚΗΣ",124.47,85.2,8.52,17
"499190","HELVETIA Global Solutions Ltd","ΘΡΑΥΣΗ ΚΡΥΣΤΑΛΛΩΝ","ΑΡΤ6944","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",10,6.8,0.88,28
"HGR2024044850454097-1","Hellas Direct","ΑΥΤΟΚΙΝΗΤΟ","ΑΡΤ6944","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",45.59,39.24,4.51,28
